Index,A0,A1,A2,M0,M1,M2,O0,O1,O2,Time
1,-0.0502,-6.9693,6.9131,-31.929,13.1805,-15.799,89.7656,45.5625,0.0625,2018/12/9 10:07
2,-0.0407,-6.9745,6.9075,-32.2983,12.9028,-16.0233,89.7656,45.5781,0.0625,2018/12/9 10:07
3,-0.0387,-6.9701,6.9016,-32.4661,13.0341,-15.8661,89.7656,45.5781,0.0625,2018/12/9 10:07
4,-0.0415,-6.9701,6.9111,-31.7184,12.9913,-15.7929,89.7656,45.5781,0.0625,2018/12/9 10:07
5,-0.0383,-6.9721,6.906,-32.3563,13.269,-15.0116,89.7656,45.5781,0.0625,2018/12/9 10:07
6,-0.0399,-6.9701,6.906,-31.4255,13.6826,-15.3442,89.7656,45.5781,0.0625,2018/12/9 10:07
7,-0.0383,-6.9729,6.906,-32.399,13.443,-15.4862,89.7656,45.5781,0.0625,2018/12/9 10:07
8,-0.0383,-6.9653,6.9044,-32.5409,12.7487,-15.6952,89.7656,45.5781,0.0625,2018/12/9 10:07
9,-0.0471,-6.9737,6.9044,-32.338,12.8281,-15.0452,89.7656,45.5781,0.0625,2018/12/9 10:07
10,-0.0419,-6.9709,6.9076,-32.3074,13.2599,-15.4022,89.7656,45.5781,0.0625,2018/12/9 10:07
11,-0.0419,-6.9661,6.9024,-32.2739,13.5269,-14.9017,89.7656,45.5781,0.0625,2018/12/9 10:07
12,-0.0399,-6.9705,6.9036,-32.3425,13.8306,-15.5151,89.7656,45.5781,0.0625,2018/12/9 10:07
13,-0.0467,-6.9697,6.9056,-31.8985,13.2492,-15.3168,89.7656,45.5781,0.0625,2018/12/9 10:07
14,-0.0403,-6.9725,6.9044,-32.399,13.2965,-15.9042,89.7656,45.5781,0.0625,2018/12/9 10:07
15,-0.0451,-6.9697,6.9056,-32.4417,13.3453,-15.6937,89.7656,45.5781,0.0625,2018/12/9 10:07
16,-0.0443,-6.9733,6.9076,-32.3959,13.0692,-15.6067,89.7656,45.5781,0.0625,2018/12/9 10:07
17,-0.0415,-6.9689,6.906,-31.9016,12.4329,-15.3427,89.7656,45.5781,0.0625,2018/12/9 10:07
18,-0.0423,-6.9741,6.9044,-32.5913,12.7991,-15.4999,89.7656,45.5781,0.0625,2018/12/9 10:07
19,-0.0367,-6.9717,6.9099,-32.3608,13.4094,-15.4617,89.7656,45.5781,0.0625,2018/12/9 10:07
